Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range
2024-11-29,Friday,November,9:00 AM - MARKET OPEN,Bloomberg,BUY,25782.0,26799.11,25306.21,1:2.14,3.95%,STRONG BULLISH,Head & Shoulders | Downside Risk,25904,26844,UPSIDE: 116 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25904 - 26844
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,Bloomberg,BUY,25719.2,26745.93,25388.82,1:3.11,3.99%,NEUTRAL,Triangle Breakout | Directional Move,25994,26862,UPSIDE: 94 points,Energy stocks leading | Oil majors positive on crude rally,25994 - 26862
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,Bloomberg,BUY,26497.4,27187.98,26042.96,1:1.52,2.61%,STRONG BULLISH,Bullish Engulfing | Support at 26000,25849,26833,UPSIDE: 145 points,Telecom strength | Bharti Airtel gains on tariff hikes,25849 - 26833
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,Bloomberg,BUY,25748.6,26679.04,25455.73,1:3.18,3.61%,MODERATELY BULLISH,RSI Overbought | Consolidation Zone,25858,26819,UPSIDE: 188 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25858 - 26819
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,Bloomberg,BUY,25552.8,26343.54,25208.91,1:2.3,3.09%,MODERATELY BULLISH,Triangle Breakout | Directional Move,25933,26892,UPSIDE: 138 points,Q3 earnings season | Corporate profits robust,25933 - 26892
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,Bloomberg,SELL,26343.0,25213.56,26855.3,1:2.2,4.29%,NEUTRAL/BULLISH,Golden Cross | Resistance at 27000,25930,26966,DOWNSIDE: 97 points,"Chemical sector focus | Atul, Bayer gains on exports",25930 - 26966
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,Bloomberg,SELL,26496.2,25845.62,26928.11,1:1.51,2.46%,BULLISH,RSI Overbought | Consolidation Zone,25896,26809,DOWNSIDE: 185 points,"FMCG holding support | ITC, HUL steady amid volatility",25896 - 26809
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,Bloomberg,BUY,26053.4,26575.85,25787.31,1:1.96,2.01%,NEUTRAL/BULLISH,Bearish Divergence | Profit Taking,25933,26820,UPSIDE: 129 points,FII flows remain positive | Foreign buying continues,25933 - 26820
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,Bloomberg,SELL,26268.6,25399.05,26733.17,1:1.87,3.31%,NEUTRAL,Bollinger Bands Squeeze | Volatility Expected,25927,26901,DOWNSIDE: 84 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25927 - 26901
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,Bloomberg,SELL,26271.8,25410.44,26551.18,1:3.08,3.28%,BULLISH,Bollinger Bands Squeeze | Volatility Expected,25835,26827,DOWNSIDE: 92 points,"Realty sector gaining traction | DLF, Oberoi up",25835 - 26827
