Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range
2024-11-29,Friday,November,9:00 AM - MARKET OPEN,CNBC-TV18,BUY,26126.0,26724.64,25696.69,1:1.39,2.29%,NEUTRAL/BULLISH,Higher High-Higher Low | Bull Run Continues,25887,26884,UPSIDE: 120 points,"Realty sector gaining traction | DLF, Oberoi up",25887 - 26884
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,CNBC-TV18,SELL,25671.2,24417.34,25972.4,1:4.16,4.88%,BULLISH,RSI Overbought | Consolidation Zone,25961,26881,DOWNSIDE: 164 points,"Realty sector gaining traction | DLF, Oberoi up",25961 - 26881
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,CNBC-TV18,BUY,25708.4,26812.62,25241.71,1:2.37,4.3%,BULLISH,RSI Overbought | Consolidation Zone,25982,26984,UPSIDE: 193 points,"Chemical sector focus | Atul, Bayer gains on exports",25982 - 26984
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,CNBC-TV18,BUY,25894.6,27004.22,25514.95,1:2.92,4.29%,NEUTRAL,Golden Cross | Resistance at 27000,25890,26805,UPSIDE: 90 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25890 - 26805
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,CNBC-TV18,SELL,25787.8,25208.81,26059.05,1:2.13,2.25%,BULLISH,Higher High-Higher Low | Bull Run Continues,25870,26965,DOWNSIDE: 106 points,Cement stocks stable | UltraTech holding ground,25870 - 26965
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,CNBC-TV18,SELL,25881.0,25171.91,26393.16,1:1.38,2.74%,NEUTRAL,RSI Overbought | Consolidation Zone,25971,26812,DOWNSIDE: 101 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25971 - 26812
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,CNBC-TV18,BUY,25567.2,26350.18,25223.51,1:2.28,3.06%,MODERATELY BULLISH,Support Breach | Watch 25800,25835,26982,UPSIDE: 141 points,Cement stocks stable | UltraTech holding ground,25835 - 26982
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,CNBC-TV18,BUY,25662.4,26890.24,25212.08,1:2.73,4.78%,BULLISH,Bullish Engulfing | Support at 26000,25971,26881,UPSIDE: 117 points,FII flows remain positive | Foreign buying continues,25971 - 26881
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,CNBC-TV18,BUY,26414.6,27281.71,26057.75,1:2.43,3.28%,STRONG BULLISH,Bullish Engulfing | Support at 26000,26000,26813,UPSIDE: 81 points,"Realty sector gaining traction | DLF, Oberoi up",26000 - 26813
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,CNBC-TV18,BUY,26467.8,27722.62,26008.61,1:2.73,4.74%,STRONG BULLISH,Triangle Breakout | Directional Move,25874,26939,UPSIDE: 155 points,Energy stocks leading | Oil majors positive on crude rally,25874 - 26939
