Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range,Support,Resistance,Open,High,Low,Close,Range_Flag
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,Bloomberg,BUY,25551.0,26604.57,25173.48,1:2.79,4.12%,NEUTRAL,Bearish Divergence | Profit Taking,25810,26842,UPSIDE: 99 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25810 - 26842,25810.0,26842.0,24140.85,24301.7,24008.65,24276.05,BREACHED_BELOW
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,Bloomberg,BUY,26153.4,27073.1,25835.35,1:2.89,3.52%,NEUTRAL,RSI Overbought | Consolidation Zone,25816,26926,UPSIDE: 163 points,"Realty sector gaining traction | DLF, Oberoi up",25816 - 26926,25816.0,26926.0,24367.5,24481.35,24280.0,24457.15,BREACHED_BELOW
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,Bloomberg,SELL,25522.8,24855.58,25908.39,1:1.73,2.61%,MODERATELY BULLISH,Bollinger Bands Squeeze | Volatility Expected,25808,26869,DOWNSIDE: 196 points,Energy stocks leading | Oil majors positive on crude rally,25808 - 26869,25808.0,26869.0,24488.75,24573.2,24366.3,24467.45,BREACHED_BELOW
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,Bloomberg,SELL,26260.2,24994.24,26603.3,1:3.69,4.82%,BULLISH,Head & Shoulders | Downside Risk,25974,26854,DOWNSIDE: 175 points,FII flows remain positive | Foreign buying continues,25974 - 26854,25974.0,26854.0,24539.15,24857.75,24295.55,24708.4,BREACHED_BELOW
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,Bloomberg,SELL,26062.6,24856.93,26390.67,1:3.68,4.63%,NEUTRAL/BULLISH,Triangle Breakout | Directional Move,25946,26854,DOWNSIDE: 185 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25946 - 26854,25946.0,26854.0,24729.45,24751.05,24620.5,24677.8,BREACHED_BELOW
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,Bloomberg,SELL,25950.0,25025.53,26376.21,1:2.17,3.56%,NEUTRAL,Bearish Divergence | Profit Taking,25819,26879,DOWNSIDE: 143 points,Telecom strength | Bharti Airtel gains on tariff hikes,25819 - 26879,25819.0,26879.0,24633.9,24705.0,24580.05,24619.0,BREACHED_BELOW
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,Bloomberg,BUY,26172.4,26936.95,25762.06,1:1.86,2.92%,NEUTRAL,Support Breach | Watch 25800,26000,26866,UPSIDE: 86 points,"Realty sector gaining traction | DLF, Oberoi up",26000 - 26866,26000.0,26866.0,24652.65,24677.8,24510.65,24610.05,BREACHED_BELOW
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,Bloomberg,BUY,25868.8,26390.99,25563.6,1:1.71,2.02%,NEUTRAL,Bearish Divergence | Profit Taking,25899,26808,UPSIDE: 148 points,Cement stocks stable | UltraTech holding ground,25899 - 26808,25899.0,26808.0,24620.5,24691.75,24583.85,24641.8,BREACHED_BELOW
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,Bloomberg,BUY,26533.2,27715.11,26077.3,1:2.59,4.45%,MODERATELY BULLISH,Triangle Breakout | Directional Move,25837,26925,UPSIDE: 87 points,"FMCG holding support | ITC, HUL steady amid volatility",25837 - 26925,25837.0,26925.0,24604.45,24675.25,24527.95,24548.7,BREACHED_BELOW
2024-12-13,Friday,December,9:00 AM - MARKET OPEN,Bloomberg,BUY,25710.6,26981.15,25401.19,1:4.11,4.94%,STRONG BULLISH,RSI Overbought | Consolidation Zone,25906,26931,UPSIDE: 59 points,"Chemical sector focus | Atul, Bayer gains on exports",25906 - 26931,25906.0,26931.0,24498.35,24792.3,24180.8,24768.3,BREACHED_BELOW
