Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range,Support,Resistance,Open,High,Low,Close,Range_Flag
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,CNBC-TV18,BUY,25676.0,26873.02,25179.97,1:2.41,4.66%,BULLISH,Bollinger Bands Squeeze | Volatility Expected,25846,26884,UPSIDE: 189 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25846 - 26884,25846.0,26884.0,24140.85,24301.7,24008.65,24276.05,BREACHED_BELOW
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,CNBC-TV18,SELL,26374.4,25467.19,26698.16,1:2.8,3.44%,NEUTRAL/BULLISH,Higher High-Higher Low | Bull Run Continues,25915,26864,DOWNSIDE: 166 points,Energy stocks leading | Oil majors positive on crude rally,25915 - 26864,25915.0,26864.0,24367.5,24481.35,24280.0,24457.15,BREACHED_BELOW
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,CNBC-TV18,BUY,25584.8,26241.74,25086.04,1:1.32,2.57%,NEUTRAL/BEARISH,Double Bottom | Reversal Expected,25960,26947,UPSIDE: 152 points,FII flows remain positive | Foreign buying continues,25960 - 26947,25960.0,26947.0,24488.75,24573.2,24366.3,24467.45,BREACHED_BELOW
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,CNBC-TV18,SELL,26307.2,25099.55,26631.34,1:3.73,4.59%,NEUTRAL/BULLISH,Breakout above 26500 | Momentum Building,25937,26865,DOWNSIDE: 117 points,Energy stocks leading | Oil majors positive on crude rally,25937 - 26865,25937.0,26865.0,24539.15,24857.75,24295.55,24708.4,BREACHED_BELOW
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,CNBC-TV18,BUY,26184.6,27223.86,25700.61,1:2.15,3.97%,NEUTRAL/BULLISH,Higher High-Higher Low | Bull Run Continues,25961,26953,UPSIDE: 117 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25961 - 26953,25961.0,26953.0,24729.45,24751.05,24620.5,24677.8,BREACHED_BELOW
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,CNBC-TV18,BUY,25831.0,26844.1,25518.79,1:3.24,3.92%,MODERATELY BULLISH,Bollinger Bands Squeeze | Volatility Expected,25884,26986,UPSIDE: 148 points,"Realty sector gaining traction | DLF, Oberoi up",25884 - 26986,25884.0,26986.0,24633.9,24705.0,24580.05,24619.0,BREACHED_BELOW
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,CNBC-TV18,SELL,26120.4,25308.01,26435.74,1:2.58,3.11%,STRONG BULLISH,Bollinger Bands Squeeze | Volatility Expected,25839,26962,DOWNSIDE: 130 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25839 - 26962,25839.0,26962.0,24652.65,24677.8,24510.65,24610.05,BREACHED_BELOW
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,CNBC-TV18,BUY,25823.8,26730.63,25416.64,1:2.23,3.51%,MODERATELY BULLISH,RSI Overbought | Consolidation Zone,25967,26837,UPSIDE: 134 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25967 - 26837,25967.0,26837.0,24620.5,24691.75,24583.85,24641.8,BREACHED_BELOW
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,CNBC-TV18,SELL,25831.2,24802.07,26198.29,1:2.8,3.98%,STRONG BULLISH,RSI Overbought | Consolidation Zone,25902,26991,DOWNSIDE: 87 points,Q3 earnings season | Corporate profits robust,25902 - 26991,25902.0,26991.0,24604.45,24675.25,24527.95,24548.7,BREACHED_BELOW
2024-12-13,Friday,December,9:00 AM - MARKET OPEN,CNBC-TV18,BUY,25670.6,26294.36,25224.48,1:1.4,2.43%,NEUTRAL/BULLISH,Bollinger Bands Squeeze | Volatility Expected,25843,26890,UPSIDE: 172 points,"FMCG holding support | ITC, HUL steady amid volatility",25843 - 26890,25843.0,26890.0,24498.35,24792.3,24180.8,24768.3,BREACHED_BELOW
