Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range,Support,Resistance,Open,High,Low,Close,Range_Flag
2024-11-29,Friday,November,9:00 AM - MARKET OPEN,Economic Times Live,BUY,26090.0,26685.52,25685.55,1:1.47,2.28%,NEUTRAL/BEARISH,Higher High-Higher Low | Bull Run Continues,25956,26801,UPSIDE: 87 points,Telecom strength | Bharti Airtel gains on tariff hikes,25956 - 26801,25956.0,26801.0,23927.15,24188.45,23927.15,24131.1,BREACHED_BELOW
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,Economic Times Live,BUY,26186.4,27043.87,25835.78,1:2.45,3.27%,NEUTRAL,Double Bottom | Reversal Expected,25840,26931,UPSIDE: 197 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25840 - 26931,25840.0,26931.0,24140.85,24301.7,24008.65,24276.05,BREACHED_BELOW
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,Economic Times Live,BUY,25835.8,26937.92,25547.08,1:3.82,4.27%,NEUTRAL/BULLISH,Bullish Engulfing | Support at 26000,25952,26866,UPSIDE: 52 points,Q3 earnings season | Corporate profits robust,25952 - 26866,25952.0,26866.0,24367.5,24481.35,24280.0,24457.15,BREACHED_BELOW
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,Economic Times Live,SELL,26436.2,25860.42,26863.13,1:1.35,2.18%,NEUTRAL/BEARISH,Breakout above 26500 | Momentum Building,25997,26906,DOWNSIDE: 84 points,FII flows remain positive | Foreign buying continues,25997 - 26906,25997.0,26906.0,24488.75,24573.2,24366.3,24467.45,BREACHED_BELOW
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,Economic Times Live,SELL,25927.6,25393.89,26284.04,1:1.5,2.06%,NEUTRAL,Breakout above 26500 | Momentum Building,25892,26969,DOWNSIDE: 81 points,"Chemical sector focus | Atul, Bayer gains on exports",25892 - 26969,25892.0,26969.0,24539.15,24857.75,24295.55,24708.4,BREACHED_BELOW
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,Economic Times Live,SELL,26129.0,25412.49,26633.64,1:1.42,2.74%,BULLISH,Head & Shoulders | Downside Risk,25885,26978,DOWNSIDE: 110 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25885 - 26978,25885.0,26978.0,24729.45,24751.05,24620.5,24677.8,BREACHED_BELOW
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,Economic Times Live,BUY,26452.4,27498.1,25950.87,1:2.09,3.95%,BULLISH,Bearish Divergence | Profit Taking,25936,26884,UPSIDE: 85 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25936 - 26884,25936.0,26884.0,24633.9,24705.0,24580.05,24619.0,BREACHED_BELOW
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,Economic Times Live,BUY,26417.8,27346.57,25947.77,1:1.98,3.52%,NEUTRAL/BULLISH,Double Bottom | Reversal Expected,25908,26836,UPSIDE: 63 points,Telecom strength | Bharti Airtel gains on tariff hikes,25908 - 26836,25908.0,26836.0,24652.65,24677.8,24510.65,24610.05,BREACHED_BELOW
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,Economic Times Live,SELL,26041.2,25308.55,26414.19,1:1.96,2.81%,STRONG BULLISH,Support Breach | Watch 25800,25934,26940,DOWNSIDE: 197 points,Cement stocks stable | UltraTech holding ground,25934 - 26940,25934.0,26940.0,24620.5,24691.75,24583.85,24641.8,BREACHED_BELOW
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,Economic Times Live,SELL,26043.6,24783.16,26364.03,1:3.93,4.84%,BULLISH,Moving Average Crossover | Trend Change,25976,26990,DOWNSIDE: 72 points,"Realty sector gaining traction | DLF, Oberoi up",25976 - 26990,25976.0,26990.0,24604.45,24675.25,24527.95,24548.7,BREACHED_BELOW
