Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range,Support,Resistance,Open,High,Low,Close,Range_Flag
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,ET Now,BUY,25946.0,26646.87,25661.36,1:2.46,2.7%,BULLISH,Bollinger Bands Squeeze | Volatility Expected,25883,26952,UPSIDE: 140 points,Energy stocks leading | Oil majors positive on crude rally,25883 - 26952,25883.0,26952.0,24140.85,24301.7,24008.65,24276.05,BREACHED_BELOW
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,ET Now,BUY,26339.4,26997.76,26049.06,1:2.27,2.5%,NEUTRAL,Bearish Divergence | Profit Taking,25986,26852,UPSIDE: 147 points,Q3 earnings season | Corporate profits robust,25986 - 26852,25986.0,26852.0,24367.5,24481.35,24280.0,24457.15,BREACHED_BELOW
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,ET Now,BUY,25555.8,26424.54,25098.29,1:1.9,3.4%,MODERATELY BULLISH,Bollinger Bands Squeeze | Volatility Expected,25957,26965,UPSIDE: 66 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25957 - 26965,25957.0,26965.0,24488.75,24573.2,24366.3,24467.45,BREACHED_BELOW
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,ET Now,BUY,25809.2,26699.35,25543.12,1:3.35,3.45%,MODERATELY BULLISH,Breakout above 26500 | Momentum Building,25805,26932,UPSIDE: 176 points,Telecom strength | Bharti Airtel gains on tariff hikes,25805 - 26932,25805.0,26932.0,24539.15,24857.75,24295.55,24708.4,BREACHED_BELOW
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,ET Now,BUY,25603.6,26880.06,25249.06,1:3.6,4.99%,NEUTRAL/BULLISH,Breakout above 26500 | Momentum Building,25959,26892,UPSIDE: 81 points,"Chemical sector focus | Atul, Bayer gains on exports",25959 - 26892,25959.0,26892.0,24729.45,24751.05,24620.5,24677.8,BREACHED_BELOW
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,ET Now,BUY,25786.0,26388.22,25328.83,1:1.32,2.34%,BULLISH,Double Bottom | Reversal Expected,25970,26883,UPSIDE: 171 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25970 - 26883,25970.0,26883.0,24633.9,24705.0,24580.05,24619.0,BREACHED_BELOW
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,ET Now,BUY,25970.4,26808.7,25466.04,1:1.66,3.23%,BULLISH,Higher High-Higher Low | Bull Run Continues,25948,26981,UPSIDE: 114 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25948 - 26981,25948.0,26981.0,24652.65,24677.8,24510.65,24610.05,BREACHED_BELOW
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,ET Now,BUY,25663.8,26543.18,25194.95,1:1.88,3.43%,NEUTRAL,Bearish Divergence | Profit Taking,25812,26829,UPSIDE: 77 points,Cement stocks stable | UltraTech holding ground,25812 - 26829,25812.0,26829.0,24620.5,24691.75,24583.85,24641.8,BREACHED_BELOW
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,ET Now,BUY,26004.2,27280.51,25685.03,1:4.0,4.91%,BULLISH,RSI Overbought | Consolidation Zone,25973,26834,UPSIDE: 189 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25973 - 26834,25973.0,26834.0,24604.45,24675.25,24527.95,24548.7,BREACHED_BELOW
2024-12-13,Friday,December,9:00 AM - MARKET OPEN,ET Now,SELL,25791.6,24907.36,26255.37,1:1.91,3.43%,MODERATELY BULLISH,Double Bottom | Reversal Expected,25855,26881,DOWNSIDE: 153 points,Q3 earnings season | Corporate profits robust,25855 - 26881,25855.0,26881.0,24498.35,24792.3,24180.8,24768.3,BREACHED_BELOW
2024-12-16,Monday,December,9:00 AM - MARKET OPEN,ET Now,SELL,26065.0,25033.38,26521.95,1:2.26,3.96%,MODERATELY BULLISH,Higher High-Higher Low | Bull Run Continues,25998,26844,DOWNSIDE: 142 points,Cement stocks stable | UltraTech holding ground,25998 - 26844,25998.0,26844.0,24753.4,24781.25,24601.75,24668.25,BREACHED_BELOW
2024-12-17,Tuesday,December,9:00 AM - MARKET OPEN,ET Now,SELL,25891.4,25305.87,26195.45,1:1.93,2.26%,STRONG BULLISH,Breakout above 26500 | Momentum Building,25913,26853,DOWNSIDE: 153 points,"Realty sector gaining traction | DLF, Oberoi up",25913 - 26853,25913.0,26853.0,24584.8,24624.1,24303.45,24336.0,BREACHED_BELOW
2024-12-18,Wednesday,December,9:00 AM - MARKET OPEN,ET Now,BUY,25930.8,26540.88,25571.51,1:1.7,2.35%,NEUTRAL,Bullish Engulfing | Support at 26000,25953,26997,UPSIDE: 53 points,"FMCG holding support | ITC, HUL steady amid volatility",25953 - 26997,25953.0,26997.0,24297.95,24394.45,24149.85,24198.85,BREACHED_BELOW
2024-12-19,Thursday,December,9:00 AM - MARKET OPEN,ET Now,BUY,25634.2,26682.84,25137.86,1:2.11,4.09%,NEUTRAL/BULLISH,Higher High-Higher Low | Bull Run Continues,25927,26903,UPSIDE: 176 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25927 - 26903,25927.0,26903.0,23877.15,24004.9,23870.3,23951.7,BREACHED_BELOW
2024-12-20,Friday,December,9:00 AM - MARKET OPEN,ET Now,BUY,26574.6,27857.2,26160.73,1:3.1,4.83%,MODERATELY BULLISH,Triangle Breakout | Directional Move,25917,26928,UPSIDE: 192 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25917 - 26928,25917.0,26928.0,23960.7,24065.8,23537.35,23587.5,BREACHED_BELOW
2024-12-23,Monday,December,9:00 AM - MARKET OPEN,ET Now,BUY,25947.0,27033.12,25573.72,1:2.91,4.19%,NEUTRAL,Head & Shoulders | Downside Risk,25989,26841,UPSIDE: 152 points,Q3 earnings season | Corporate profits robust,25989 - 26841,25989.0,26841.0,23738.2,23869.55,23647.2,23753.45,BREACHED_BELOW
2024-12-24,Tuesday,December,9:00 AM - MARKET OPEN,ET Now,BUY,26200.4,27187.43,25856.8,1:2.87,3.77%,STRONG BULLISH,Breakout above 26500 | Momentum Building,25912,26832,UPSIDE: 73 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25912 - 26832,25912.0,26832.0,23769.1,23867.65,23685.15,23727.65,BREACHED_BELOW
2024-12-26,Thursday,December,9:00 AM - MARKET OPEN,ET Now,BUY,25695.8,26946.01,25385.37,1:4.03,4.87%,MODERATELY BULLISH,Higher High-Higher Low | Bull Run Continues,25828,26829,UPSIDE: 133 points,DII support strong | Domestic funds accumulating,25828 - 26829,25828.0,26829.0,23775.8,23854.5,23653.6,23750.2,BREACHED_BELOW
2024-12-27,Friday,December,9:00 AM - MARKET OPEN,ET Now,SELL,26467.2,25600.04,26762.74,1:2.93,3.28%,BULLISH,Bollinger Bands Squeeze | Volatility Expected,25856,26854,DOWNSIDE: 177 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25856 - 26854,25856.0,26854.0,23801.4,23938.85,23800.6,23813.4,BREACHED_BELOW
2024-12-30,Monday,December,9:00 AM - MARKET OPEN,ET Now,BUY,26305.6,26907.37,26012.66,1:2.05,2.29%,BULLISH,Support Breach | Watch 25800,25901,26948,UPSIDE: 196 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25901 - 26948,25901.0,26948.0,23796.9,23915.35,23599.3,23644.9,BREACHED_BELOW
2024-12-31,Tuesday,December,9:00 AM - MARKET OPEN,ET Now,BUY,26578.0,27900.53,26283.17,1:4.49,4.98%,NEUTRAL,Double Bottom | Reversal Expected,25961,26861,UPSIDE: 170 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25961 - 26861,25961.0,26861.0,23560.6,23689.85,23460.45,23644.8,BREACHED_BELOW
2025-01-01,Wednesday,January,9:00 AM - MARKET OPEN,ET Now,BUY,26272.4,27485.64,25792.58,1:2.53,4.62%,STRONG BULLISH,Head & Shoulders | Downside Risk,25855,26943,UPSIDE: 95 points,DII support strong | Domestic funds accumulating,25855 - 26943,25855.0,26943.0,23637.65,23822.8,23562.8,23742.9,BREACHED_BELOW
