Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range,Support,Resistance,Open,High,Low,Close,Range_Flag
2024-11-29,Friday,November,9:00 AM - MARKET OPEN,Financial Express,BUY,26074.0,26837.81,25613.94,1:1.66,2.93%,MODERATELY BULLISH,Bearish Divergence | Profit Taking,25808,26880,UPSIDE: 87 points,"Realty sector gaining traction | DLF, Oberoi up",25808 - 26880,25808.0,26880.0,23927.15,24188.45,23927.15,24131.1,BREACHED_BELOW
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,Financial Express,BUY,26379.4,27486.45,25907.83,1:2.35,4.2%,NEUTRAL/BULLISH,Higher High-Higher Low | Bull Run Continues,25894,26880,UPSIDE: 101 points,Energy stocks leading | Oil majors positive on crude rally,25894 - 26880,25894.0,26880.0,24140.85,24301.7,24008.65,24276.05,BREACHED_BELOW
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,Financial Express,BUY,25644.8,26846.22,25245.34,1:3.01,4.68%,MODERATELY BULLISH,Triangle Breakout | Directional Move,25879,26926,UPSIDE: 181 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25879 - 26926,25879.0,26926.0,24367.5,24481.35,24280.0,24457.15,BREACHED_BELOW
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,Financial Express,SELL,26307.2,25776.74,26819.75,1:1.03,2.02%,BULLISH,Bearish Divergence | Profit Taking,25939,26997,DOWNSIDE: 150 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25939 - 26997,25939.0,26997.0,24488.75,24573.2,24366.3,24467.45,BREACHED_BELOW
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,Financial Express,BUY,25919.6,26931.38,25539.74,1:2.66,3.9%,NEUTRAL,Bearish Divergence | Profit Taking,25933,26901,UPSIDE: 68 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25933 - 26901,25933.0,26901.0,24539.15,24857.75,24295.55,24708.4,BREACHED_BELOW
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,Financial Express,SELL,25822.0,25017.12,26166.19,1:2.34,3.12%,MODERATELY BULLISH,Double Bottom | Reversal Expected,25969,26815,DOWNSIDE: 197 points,"FMCG holding support | ITC, HUL steady amid volatility",25969 - 26815,25969.0,26815.0,24729.45,24751.05,24620.5,24677.8,BREACHED_BELOW
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,Financial Express,BUY,26512.4,27255.36,26232.88,1:2.66,2.8%,MODERATELY BULLISH,Breakout above 26500 | Momentum Building,25991,26917,UPSIDE: 83 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25991 - 26917,25991.0,26917.0,24633.9,24705.0,24580.05,24619.0,BREACHED_BELOW
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,Financial Express,BUY,25946.8,26985.69,25491.23,1:2.28,4.0%,STRONG BULLISH,Bollinger Bands Squeeze | Volatility Expected,25846,26823,UPSIDE: 66 points,Q3 earnings season | Corporate profits robust,25846 - 26823,25846.0,26823.0,24652.65,24677.8,24510.65,24610.05,BREACHED_BELOW
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,Financial Express,SELL,26270.2,25155.54,26728.33,1:2.43,4.24%,NEUTRAL/BULLISH,Bearish Divergence | Profit Taking,25928,26857,DOWNSIDE: 64 points,Q3 earnings season | Corporate profits robust,25928 - 26857,25928.0,26857.0,24620.5,24691.75,24583.85,24641.8,BREACHED_BELOW
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,Financial Express,SELL,26485.6,25185.11,26859.69,1:3.48,4.91%,NEUTRAL,RSI Overbought | Consolidation Zone,25941,26988,DOWNSIDE: 69 points,"Chemical sector focus | Atul, Bayer gains on exports",25941 - 26988,25941.0,26988.0,24604.45,24675.25,24527.95,24548.7,BREACHED_BELOW
2024-12-13,Friday,December,9:00 AM - MARKET OPEN,Financial Express,BUY,26407.0,27346.19,25966.68,1:2.13,3.56%,MODERATELY BULLISH,Bollinger Bands Squeeze | Volatility Expected,25825,26968,UPSIDE: 128 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25825 - 26968,25825.0,26968.0,24498.35,24792.3,24180.8,24768.3,BREACHED_BELOW
2024-12-16,Monday,December,9:00 AM - MARKET OPEN,Financial Express,SELL,25910.4,25112.41,26350.82,1:1.81,3.08%,MODERATELY BULLISH,Moving Average Crossover | Trend Change,25985,26810,DOWNSIDE: 124 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25985 - 26810,25985.0,26810.0,24753.4,24781.25,24601.75,24668.25,BREACHED_BELOW
2024-12-17,Tuesday,December,9:00 AM - MARKET OPEN,Financial Express,SELL,26271.8,25720.43,26650.88,1:1.45,2.1%,NEUTRAL/BEARISH,Bearish Divergence | Profit Taking,25992,26827,DOWNSIDE: 184 points,"Realty sector gaining traction | DLF, Oberoi up",25992 - 26827,25992.0,26827.0,24584.8,24624.1,24303.45,24336.0,BREACHED_BELOW
2024-12-18,Wednesday,December,9:00 AM - MARKET OPEN,Financial Express,BUY,25999.2,27232.7,25721.52,1:4.44,4.74%,MODERATELY BULLISH,Head & Shoulders | Downside Risk,25853,26991,UPSIDE: 170 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25853 - 26991,25853.0,26991.0,24297.95,24394.45,24149.85,24198.85,BREACHED_BELOW
2024-12-19,Thursday,December,9:00 AM - MARKET OPEN,Financial Express,BUY,26357.6,27422.57,25840.94,1:2.06,4.04%,MODERATELY BULLISH,RSI Overbought | Consolidation Zone,25860,26842,UPSIDE: 60 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25860 - 26842,25860.0,26842.0,23877.15,24004.9,23870.3,23951.7,BREACHED_BELOW
2024-12-20,Friday,December,9:00 AM - MARKET OPEN,Financial Express,BUY,26096.0,27187.97,25603.24,1:2.22,4.18%,NEUTRAL,Moving Average Crossover | Trend Change,25918,26876,UPSIDE: 187 points,"Realty sector gaining traction | DLF, Oberoi up",25918 - 26876,25918.0,26876.0,23960.7,24065.8,23537.35,23587.5,BREACHED_BELOW
2024-12-23,Monday,December,9:00 AM - MARKET OPEN,Financial Express,SELL,26333.4,25281.12,26656.72,1:3.25,4.0%,BULLISH,Bollinger Bands Squeeze | Volatility Expected,25952,26981,DOWNSIDE: 104 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25952 - 26981,25952.0,26981.0,23738.2,23869.55,23647.2,23753.45,BREACHED_BELOW
2024-12-24,Tuesday,December,9:00 AM - MARKET OPEN,Financial Express,SELL,26183.8,24971.22,26577.32,1:3.08,4.63%,NEUTRAL,Moving Average Crossover | Trend Change,25947,26830,DOWNSIDE: 135 points,"Chemical sector focus | Atul, Bayer gains on exports",25947 - 26830,25947.0,26830.0,23769.1,23867.65,23685.15,23727.65,BREACHED_BELOW
2024-12-26,Thursday,December,9:00 AM - MARKET OPEN,Financial Express,SELL,26569.2,25629.28,26951.27,1:2.46,3.54%,STRONG BULLISH,Triangle Breakout | Directional Move,25847,26821,DOWNSIDE: 120 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25847 - 26821,25847.0,26821.0,23775.8,23854.5,23653.6,23750.2,BREACHED_BELOW
2024-12-27,Friday,December,9:00 AM - MARKET OPEN,Financial Express,SELL,26611.6,25650.43,26919.82,1:3.12,3.61%,MODERATELY BULLISH,Head & Shoulders | Downside Risk,25984,26953,DOWNSIDE: 61 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25984 - 26953,25984.0,26953.0,23801.4,23938.85,23800.6,23813.4,BREACHED_BELOW
2024-12-30,Monday,December,9:00 AM - MARKET OPEN,Financial Express,BUY,26253.0,27215.44,25919.86,1:2.89,3.67%,MODERATELY BULLISH,Head & Shoulders | Downside Risk,25824,26950,UPSIDE: 143 points,Energy stocks leading | Oil majors positive on crude rally,25824 - 26950,25824.0,26950.0,23796.9,23915.35,23599.3,23644.9,BREACHED_BELOW
2024-12-31,Tuesday,December,9:00 AM - MARKET OPEN,Financial Express,BUY,26604.4,27821.44,26134.96,1:2.59,4.57%,STRONG BULLISH,RSI Overbought | Consolidation Zone,25891,26912,UPSIDE: 154 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25891 - 26912,25891.0,26912.0,23560.6,23689.85,23460.45,23644.8,BREACHED_BELOW
2025-01-01,Wednesday,January,9:00 AM - MARKET OPEN,Financial Express,SELL,26255.8,25129.27,26734.74,1:2.35,4.29%,NEUTRAL,Bollinger Bands Squeeze | Volatility Expected,25862,26908,DOWNSIDE: 82 points,"Chemical sector focus | Atul, Bayer gains on exports",25862 - 26908,25862.0,26908.0,23637.65,23822.8,23562.8,23742.9,BREACHED_BELOW
2025-01-02,Thursday,January,9:00 AM - MARKET OPEN,Financial Express,SELL,25763.2,24581.51,26248.61,1:2.43,4.59%,BULLISH,RSI Overbought | Consolidation Zone,25952,26817,DOWNSIDE: 178 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25952 - 26817,25952.0,26817.0,23783.0,24226.7,23751.55,24188.65,BREACHED_BELOW
2025-01-03,Friday,January,9:00 AM - MARKET OPEN,Financial Express,BUY,26282.6,27206.16,25762.08,1:1.77,3.51%,STRONG BULLISH,Higher High-Higher Low | Bull Run Continues,25889,27000,UPSIDE: 175 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25889 - 27000,25889.0,27000.0,24196.4,24196.45,23976.0,24004.75,BREACHED_BELOW
2025-01-06,Monday,January,9:00 AM - MARKET OPEN,Financial Express,BUY,26134.0,26819.36,25684.05,1:1.52,2.62%,NEUTRAL/BULLISH,Bearish Divergence | Profit Taking,25974,26822,UPSIDE: 179 points,FII flows remain positive | Foreign buying continues,25974 - 26822,25974.0,26822.0,24045.8,24089.95,23551.9,23616.05,BREACHED_BELOW
2025-01-07,Tuesday,January,9:00 AM - MARKET OPEN,Financial Express,BUY,25849.4,26498.86,25522.09,1:1.98,2.51%,STRONG BULLISH,Bullish Engulfing | Support at 26000,25890,26802,UPSIDE: 127 points,Q3 earnings season | Corporate profits robust,25890 - 26802,25890.0,26802.0,23679.9,23795.2,23637.8,23707.9,BREACHED_BELOW
2025-01-08,Wednesday,January,9:00 AM - MARKET OPEN,Financial Express,BUY,26005.8,26596.39,25526.48,1:1.23,2.27%,NEUTRAL/BULLISH,Breakout above 26500 | Momentum Building,25990,26838,UPSIDE: 60 points,Energy stocks leading | Oil majors positive on crude rally,25990 - 26838,25990.0,26838.0,23746.65,23751.85,23496.15,23688.95,BREACHED_BELOW
2025-01-09,Thursday,January,9:00 AM - MARKET OPEN,Financial Express,BUY,26583.2,27314.84,26195.88,1:1.89,2.75%,NEUTRAL/BULLISH,Triangle Breakout | Directional Move,25865,26844,UPSIDE: 121 points,Energy stocks leading | Oil majors positive on crude rally,25865 - 26844,25865.0,26844.0,23674.75,23689.5,23503.05,23526.5,BREACHED_BELOW
2025-01-10,Friday,January,9:00 AM - MARKET OPEN,Financial Express,BUY,26593.6,27910.5,26260.8,1:3.96,4.95%,MODERATELY BULLISH,Higher High-Higher Low | Bull Run Continues,25817,26971,UPSIDE: 59 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25817 - 26971,25817.0,26971.0,23551.9,23596.6,23344.35,23431.5,BREACHED_BELOW
2025-01-13,Monday,January,9:00 AM - MARKET OPEN,Financial Express,BUY,26603.0,27174.46,26257.26,1:1.65,2.15%,MODERATELY BULLISH,Double Bottom | Reversal Expected,25924,26920,UPSIDE: 125 points,Energy stocks leading | Oil majors positive on crude rally,25924 - 26920,25924.0,26920.0,23195.4,23340.95,23047.25,23085.95,BREACHED_BELOW
2025-01-14,Tuesday,January,9:00 AM - MARKET OPEN,Financial Express,SELL,25870.4,24644.0,26351.68,1:2.55,4.74%,NEUTRAL/BULLISH,Head & Shoulders | Downside Risk,25938,26857,DOWNSIDE: 160 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25938 - 26857,25938.0,26857.0,23165.9,23264.95,23134.15,23176.05,BREACHED_BELOW
2025-01-15,Wednesday,January,9:00 AM - MARKET OPEN,Financial Express,BUY,26215.8,27416.85,25735.38,1:2.5,4.58%,NEUTRAL/BULLISH,RSI Overbought | Consolidation Zone,25957,26828,UPSIDE: 200 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25957 - 26828,25957.0,26828.0,23250.45,23293.65,23146.45,23213.2,BREACHED_BELOW
2025-01-16,Thursday,January,9:00 AM - MARKET OPEN,Financial Express,SELL,26063.2,25408.19,26473.45,1:1.6,2.51%,STRONG BULLISH,Moving Average Crossover | Trend Change,25930,26907,DOWNSIDE: 94 points,"Realty sector gaining traction | DLF, Oberoi up",25930 - 26907,25930.0,26907.0,23377.25,23391.65,23272.05,23311.8,BREACHED_BELOW
2025-01-17,Friday,January,9:00 AM - MARKET OPEN,Financial Express,BUY,25924.6,26479.47,25442.63,1:1.15,2.14%,NEUTRAL,Double Bottom | Reversal Expected,25818,26983,UPSIDE: 97 points,Cement stocks stable | UltraTech holding ground,25818 - 26983,25818.0,26983.0,23277.1,23292.1,23100.35,23203.2,BREACHED_BELOW
2025-01-20,Monday,January,9:00 AM - MARKET OPEN,Financial Express,BUY,25776.0,26756.24,25446.99,1:2.98,3.8%,MODERATELY BULLISH,Moving Average Crossover | Trend Change,25970,26996,UPSIDE: 78 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25970 - 26996,25970.0,26996.0,23290.4,23391.1,23170.65,23344.75,BREACHED_BELOW
2025-01-21,Tuesday,January,9:00 AM - MARKET OPEN,Financial Express,BUY,25977.4,26898.62,25549.51,1:2.15,3.55%,BULLISH,Triangle Breakout | Directional Move,25948,26954,UPSIDE: 61 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25948 - 26954,25948.0,26954.0,23421.65,23426.3,22976.85,23024.65,BREACHED_BELOW
2025-01-22,Wednesday,January,9:00 AM - MARKET OPEN,Financial Express,BUY,26398.8,27543.63,26119.88,1:4.1,4.34%,BULLISH,Moving Average Crossover | Trend Change,25870,26806,UPSIDE: 97 points,DII support strong | Domestic funds accumulating,25870 - 26806,25870.0,26806.0,23099.15,23169.55,22981.3,23155.35,BREACHED_BELOW
2025-01-23,Thursday,January,9:00 AM - MARKET OPEN,Financial Express,BUY,26103.2,27114.09,25609.55,1:2.05,3.87%,BULLISH,Moving Average Crossover | Trend Change,25903,26924,UPSIDE: 52 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25903 - 26924,25903.0,26924.0,23128.3,23270.8,23090.65,23205.35,BREACHED_BELOW
2025-01-24,Friday,January,9:00 AM - MARKET OPEN,Financial Express,SELL,25825.6,25126.25,26204.14,1:1.85,2.71%,NEUTRAL/BULLISH,Head & Shoulders | Downside Risk,25985,26953,DOWNSIDE: 100 points,DII support strong | Domestic funds accumulating,25985 - 26953,25985.0,26953.0,23183.9,23347.3,23050.0,23092.2,BREACHED_BELOW
2025-01-27,Monday,January,9:00 AM - MARKET OPEN,Financial Express,SELL,26557.0,26002.15,26982.4,1:1.3,2.09%,NEUTRAL/BULLISH,Golden Cross | Resistance at 27000,25840,26972,DOWNSIDE: 79 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25840 - 26972,25840.0,26972.0,22940.15,23007.45,22786.9,22829.15,BREACHED_BELOW
2025-01-28,Tuesday,January,9:00 AM - MARKET OPEN,Financial Express,SELL,26026.4,24975.96,26379.65,1:2.97,4.04%,BULLISH,Bollinger Bands Squeeze | Volatility Expected,25858,26841,DOWNSIDE: 170 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25858 - 26841,25858.0,26841.0,22960.45,23137.95,22857.65,22957.25,BREACHED_BELOW
2025-01-29,Wednesday,January,9:00 AM - MARKET OPEN,Financial Express,BUY,25985.8,27053.79,25627.48,1:2.98,4.11%,NEUTRAL/BULLISH,Breakout above 26500 | Momentum Building,25897,26995,UPSIDE: 74 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25897 - 26995,25897.0,26995.0,23026.75,23183.35,22976.5,23163.1,BREACHED_BELOW
2025-01-30,Thursday,January,9:00 AM - MARKET OPEN,Financial Express,SELL,26475.2,25341.28,26860.48,1:2.94,4.28%,BULLISH,Bullish Engulfing | Support at 26000,25837,26811,DOWNSIDE: 105 points,FII flows remain positive | Foreign buying continues,25837 - 26811,25837.0,26811.0,23169.5,23322.05,23139.2,23249.5,BREACHED_BELOW
2025-01-31,Friday,January,9:00 AM - MARKET OPEN,Financial Express,SELL,26400.6,25791.62,26771.27,1:1.64,2.31%,MODERATELY BULLISH,Bullish Engulfing | Support at 26000,25821,26802,DOWNSIDE: 146 points,Cement stocks stable | UltraTech holding ground,25821 - 26802,25821.0,26802.0,23296.75,23546.8,23277.4,23508.4,BREACHED_BELOW
2025-02-03,Monday,February,9:00 AM - MARKET OPEN,Financial Express,SELL,26612.0,25297.7,26915.86,1:4.33,4.94%,STRONG BULLISH,Moving Average Crossover | Trend Change,25955,26905,DOWNSIDE: 176 points,"FMCG holding support | ITC, HUL steady amid volatility",25955 - 26905,25955.0,26905.0,23319.35,23381.6,23222.0,23361.05,BREACHED_BELOW
