Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range,Support,Resistance,Open,High,Low,Close,Range_Flag
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,Mint,BUY,26100.0,26949.01,25708.3,1:2.17,3.25%,NEUTRAL,Bearish Divergence | Profit Taking,25884,26973,UPSIDE: 118 points,Telecom strength | Bharti Airtel gains on tariff hikes,25884 - 26973,25884.0,26973.0,24140.85,24301.7,24008.65,24276.05,BREACHED_BELOW
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,Mint,BUY,25744.4,26391.19,25291.06,1:1.43,2.51%,NEUTRAL/BEARISH,Head & Shoulders | Downside Risk,25989,26809,UPSIDE: 106 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25989 - 26809,25989.0,26809.0,24367.5,24481.35,24280.0,24457.15,BREACHED_BELOW
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,Mint,SELL,26404.8,25737.82,26732.1,1:2.04,2.53%,STRONG BULLISH,Triangle Breakout | Directional Move,25927,26899,DOWNSIDE: 107 points,"FMCG holding support | ITC, HUL steady amid volatility",25927 - 26899,25927.0,26899.0,24488.75,24573.2,24366.3,24467.45,BREACHED_BELOW
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,Mint,BUY,25982.2,26929.74,25531.74,1:2.1,3.65%,BULLISH,Support Breach | Watch 25800,25995,26947,UPSIDE: 133 points,"Chemical sector focus | Atul, Bayer gains on exports",25995 - 26947,25995.0,26947.0,24539.15,24857.75,24295.55,24708.4,BREACHED_BELOW
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,Mint,BUY,26172.6,27459.41,25725.61,1:2.88,4.92%,STRONG BULLISH,Triangle Breakout | Directional Move,25898,26953,UPSIDE: 112 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25898 - 26953,25898.0,26953.0,24729.45,24751.05,24620.5,24677.8,BREACHED_BELOW
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,Mint,BUY,26155.0,27232.58,25746.27,1:2.64,4.12%,MODERATELY BULLISH,RSI Overbought | Consolidation Zone,25811,26968,UPSIDE: 171 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25811 - 26968,25811.0,26968.0,24633.9,24705.0,24580.05,24619.0,BREACHED_BELOW
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,Mint,SELL,26418.4,25603.4,26874.09,1:1.79,3.08%,NEUTRAL,Head & Shoulders | Downside Risk,26000,26971,DOWNSIDE: 90 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",26000 - 26971,26000.0,26971.0,24652.65,24677.8,24510.65,24610.05,BREACHED_BELOW
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,Mint,BUY,26166.8,27420.33,25779.26,1:3.23,4.79%,MODERATELY BULLISH,Breakout above 26500 | Momentum Building,25910,26958,UPSIDE: 152 points,Cement stocks stable | UltraTech holding ground,25910 - 26958,25910.0,26958.0,24620.5,24691.75,24583.85,24641.8,BREACHED_BELOW
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,Mint,SELL,25937.2,24772.79,26441.42,1:2.31,4.49%,MODERATELY BULLISH,Breakout above 26500 | Momentum Building,25858,26869,DOWNSIDE: 197 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25858 - 26869,25858.0,26869.0,24604.45,24675.25,24527.95,24548.7,BREACHED_BELOW
2024-12-13,Friday,December,9:00 AM - MARKET OPEN,Mint,SELL,25677.6,25050.03,26049.61,1:1.69,2.44%,NEUTRAL,Head & Shoulders | Downside Risk,25877,26980,DOWNSIDE: 79 points,"Chemical sector focus | Atul, Bayer gains on exports",25877 - 26980,25877.0,26980.0,24498.35,24792.3,24180.8,24768.3,BREACHED_BELOW
