Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range,Support,Resistance,Open,High,Low,Close,Range_Flag
2024-11-29,Friday,November,9:00 AM - MARKET OPEN,Money Control,BUY,26483.0,27646.7,26216.38,1:4.36,4.39%,NEUTRAL/BULLISH,Bollinger Bands Squeeze | Volatility Expected,25991,26946,UPSIDE: 109 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25991 - 26946,25991.0,26946.0,23927.15,24188.45,23927.15,24131.1,BREACHED_BELOW
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,Money Control,BUY,26490.4,27584.93,26140.0,1:3.12,4.13%,NEUTRAL,Triangle Breakout | Directional Move,25921,26967,UPSIDE: 155 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25921 - 26967,25921.0,26967.0,24140.85,24301.7,24008.65,24276.05,BREACHED_BELOW
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,Money Control,BUY,26167.8,27393.29,25700.68,1:2.62,4.68%,BULLISH,Breakout above 26500 | Momentum Building,25864,26835,UPSIDE: 148 points,Cement stocks stable | UltraTech holding ground,25864 - 26835,25864.0,26835.0,24367.5,24481.35,24280.0,24457.15,BREACHED_BELOW
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,Money Control,BUY,26438.2,27424.0,26030.15,1:2.42,3.73%,NEUTRAL,Triangle Breakout | Directional Move,25949,26946,UPSIDE: 60 points,Energy stocks leading | Oil majors positive on crude rally,25949 - 26946,25949.0,26946.0,24488.75,24573.2,24366.3,24467.45,BREACHED_BELOW
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,Money Control,SELL,25905.6,25341.18,26182.06,1:2.04,2.18%,NEUTRAL/BULLISH,Bullish Engulfing | Support at 26000,25867,26998,DOWNSIDE: 193 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25867 - 26998,25867.0,26998.0,24539.15,24857.75,24295.55,24708.4,BREACHED_BELOW
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,Money Control,BUY,25729.0,26487.4,25348.24,1:1.99,2.95%,BULLISH,Bullish Engulfing | Support at 26000,25982,26975,UPSIDE: 196 points,"Realty sector gaining traction | DLF, Oberoi up",25982 - 26975,25982.0,26975.0,24729.45,24751.05,24620.5,24677.8,BREACHED_BELOW
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,Money Control,BUY,26528.4,27172.81,26023.25,1:1.28,2.43%,NEUTRAL/BEARISH,Higher High-Higher Low | Bull Run Continues,25843,26833,UPSIDE: 131 points,"Chemical sector focus | Atul, Bayer gains on exports",25843 - 26833,25843.0,26833.0,24633.9,24705.0,24580.05,24619.0,BREACHED_BELOW
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,Money Control,BUY,26141.8,26858.95,25806.06,1:2.14,2.74%,NEUTRAL,Bearish Divergence | Profit Taking,25814,26859,UPSIDE: 104 points,"Realty sector gaining traction | DLF, Oberoi up",25814 - 26859,25814.0,26859.0,24652.65,24677.8,24510.65,24610.05,BREACHED_BELOW
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,Money Control,BUY,26152.2,27116.51,25713.06,1:2.2,3.69%,NEUTRAL/BULLISH,Bullish Engulfing | Support at 26000,25808,26984,UPSIDE: 68 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25808 - 26984,25808.0,26984.0,24620.5,24691.75,24583.85,24641.8,BREACHED_BELOW
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,Money Control,SELL,26197.6,25409.77,26520.44,1:2.44,3.01%,NEUTRAL/BULLISH,Bullish Engulfing | Support at 26000,25844,26901,DOWNSIDE: 124 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25844 - 26901,25844.0,26901.0,24604.45,24675.25,24527.95,24548.7,BREACHED_BELOW
2024-12-13,Friday,December,9:00 AM - MARKET OPEN,Money Control,SELL,26275.0,25279.41,26550.49,1:3.61,3.79%,MODERATELY BULLISH,Triangle Breakout | Directional Move,25801,26816,DOWNSIDE: 175 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25801 - 26816,25801.0,26816.0,24498.35,24792.3,24180.8,24768.3,BREACHED_BELOW
2024-12-16,Monday,December,9:00 AM - MARKET OPEN,Money Control,SELL,25901.4,25105.03,26265.18,1:2.19,3.07%,STRONG BULLISH,RSI Overbought | Consolidation Zone,25831,26846,DOWNSIDE: 144 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25831 - 26846,25831.0,26846.0,24753.4,24781.25,24601.75,24668.25,BREACHED_BELOW
