Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range,Support,Resistance,Open,High,Low,Close,Range_Flag
2024-11-29,Friday,November,9:00 AM - MARKET OPEN,NDTV Profit,BUY,26421.0,27437.91,25909.83,1:1.99,3.85%,NEUTRAL/BULLISH,Moving Average Crossover | Trend Change,25997,26951,UPSIDE: 143 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25997 - 26951,25997.0,26951.0,23927.15,24188.45,23927.15,24131.1,BREACHED_BELOW
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,NDTV Profit,SELL,26099.4,25463.82,26548.49,1:1.42,2.44%,BULLISH,Golden Cross | Resistance at 27000,25849,26908,DOWNSIDE: 58 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25849 - 26908,25849.0,26908.0,24140.85,24301.7,24008.65,24276.05,BREACHED_BELOW
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,NDTV Profit,BUY,26152.8,26936.57,25703.55,1:1.74,3.0%,MODERATELY BULLISH,RSI Overbought | Consolidation Zone,25825,26854,UPSIDE: 105 points,Cement stocks stable | UltraTech holding ground,25825 - 26854,25825.0,26854.0,24367.5,24481.35,24280.0,24457.15,BREACHED_BELOW
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,NDTV Profit,BUY,25729.2,26654.51,25331.97,1:2.33,3.6%,BULLISH,Head & Shoulders | Downside Risk,25860,26969,UPSIDE: 62 points,"Chemical sector focus | Atul, Bayer gains on exports",25860 - 26969,25860.0,26969.0,24488.75,24573.2,24366.3,24467.45,BREACHED_BELOW
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,NDTV Profit,BUY,25740.6,26450.9,25384.59,1:2.0,2.76%,MODERATELY BULLISH,Triangle Breakout | Directional Move,25910,26828,UPSIDE: 87 points,"FMCG holding support | ITC, HUL steady amid volatility",25910 - 26828,25910.0,26828.0,24539.15,24857.75,24295.55,24708.4,BREACHED_BELOW
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,NDTV Profit,SELL,25815.0,24779.09,26089.63,1:3.77,4.01%,MODERATELY BULLISH,Double Bottom | Reversal Expected,25861,26896,DOWNSIDE: 65 points,DII support strong | Domestic funds accumulating,25861 - 26896,25861.0,26896.0,24729.45,24751.05,24620.5,24677.8,BREACHED_BELOW
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,NDTV Profit,BUY,26293.4,27137.91,25960.96,1:2.54,3.21%,MODERATELY BULLISH,RSI Overbought | Consolidation Zone,25914,26800,UPSIDE: 150 points,"Chemical sector focus | Atul, Bayer gains on exports",25914 - 26800,25914.0,26800.0,24633.9,24705.0,24580.05,24619.0,BREACHED_BELOW
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,NDTV Profit,BUY,26454.8,27506.25,25935.18,1:2.02,3.97%,NEUTRAL/BULLISH,Double Bottom | Reversal Expected,25889,26821,UPSIDE: 187 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25889 - 26821,25889.0,26821.0,24652.65,24677.8,24510.65,24610.05,BREACHED_BELOW
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,NDTV Profit,SELL,25784.2,25050.29,26127.11,1:2.14,2.85%,STRONG BULLISH,Breakout above 26500 | Momentum Building,25890,26833,DOWNSIDE: 51 points,Cement stocks stable | UltraTech holding ground,25890 - 26833,25890.0,26833.0,24620.5,24691.75,24583.85,24641.8,BREACHED_BELOW
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,NDTV Profit,SELL,25745.6,24777.38,26200.19,1:2.13,3.76%,MODERATELY BULLISH,RSI Overbought | Consolidation Zone,25894,26990,DOWNSIDE: 83 points,"FMCG holding support | ITC, HUL steady amid volatility",25894 - 26990,25894.0,26990.0,24604.45,24675.25,24527.95,24548.7,BREACHED_BELOW
2024-12-13,Friday,December,9:00 AM - MARKET OPEN,NDTV Profit,BUY,26463.0,27167.25,26114.06,1:2.02,2.66%,NEUTRAL/BULLISH,Bullish Engulfing | Support at 26000,25805,26920,UPSIDE: 85 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25805 - 26920,25805.0,26920.0,24498.35,24792.3,24180.8,24768.3,BREACHED_BELOW
