Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range,Support,Resistance,Open,High,Low,Close,Range_Flag
2024-11-29,Friday,November,9:00 AM - MARKET OPEN,Times Now Business,BUY,25638.0,26298.76,25226.31,1:1.6,2.58%,NEUTRAL/BULLISH,Bullish Engulfing | Support at 26000,25896,26872,UPSIDE: 109 points,DII support strong | Domestic funds accumulating,25896 - 26872,25896.0,26872.0,23927.15,24188.45,23927.15,24131.1,BREACHED_BELOW
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,Times Now Business,SELL,26372.4,25560.99,26661.26,1:2.81,3.08%,MODERATELY BULLISH,Moving Average Crossover | Trend Change,25998,26898,DOWNSIDE: 183 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25998 - 26898,25998.0,26898.0,24140.85,24301.7,24008.65,24276.05,BREACHED_BELOW
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,Times Now Business,SELL,25652.8,24431.05,26027.82,1:3.26,4.76%,NEUTRAL,Bullish Engulfing | Support at 26000,25995,26822,DOWNSIDE: 133 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25995 - 26822,25995.0,26822.0,24367.5,24481.35,24280.0,24457.15,BREACHED_BELOW
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,Times Now Business,SELL,25735.2,24490.96,26079.05,1:3.62,4.83%,NEUTRAL/BULLISH,Bollinger Bands Squeeze | Volatility Expected,25841,26830,DOWNSIDE: 195 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25841 - 26830,25841.0,26830.0,24488.75,24573.2,24366.3,24467.45,BREACHED_BELOW
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,Times Now Business,SELL,25821.6,24872.98,26190.35,1:2.57,3.67%,STRONG BULLISH,Bearish Divergence | Profit Taking,25953,26977,DOWNSIDE: 148 points,Q3 earnings season | Corporate profits robust,25953 - 26977,25953.0,26977.0,24539.15,24857.75,24295.55,24708.4,BREACHED_BELOW
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,Times Now Business,SELL,25762.0,25223.09,26021.71,1:2.08,2.09%,STRONG BULLISH,Double Bottom | Reversal Expected,25818,26888,DOWNSIDE: 143 points,Energy stocks leading | Oil majors positive on crude rally,25818 - 26888,25818.0,26888.0,24729.45,24751.05,24620.5,24677.8,BREACHED_BELOW
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,Times Now Business,BUY,25627.4,26548.55,25263.41,1:2.53,3.59%,MODERATELY BULLISH,Head & Shoulders | Downside Risk,25832,26864,UPSIDE: 111 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25832 - 26864,25832.0,26864.0,24633.9,24705.0,24580.05,24619.0,BREACHED_BELOW
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,Times Now Business,BUY,26092.8,26981.04,25695.51,1:2.24,3.4%,NEUTRAL/BULLISH,Bullish Engulfing | Support at 26000,25958,26897,UPSIDE: 147 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25958 - 26897,25958.0,26897.0,24652.65,24677.8,24510.65,24610.05,BREACHED_BELOW
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,Times Now Business,SELL,26243.2,25433.58,26654.93,1:1.97,3.09%,STRONG BULLISH,Bearish Divergence | Profit Taking,25891,26935,DOWNSIDE: 177 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25891 - 26935,25891.0,26935.0,24620.5,24691.75,24583.85,24641.8,BREACHED_BELOW
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,Times Now Business,SELL,25854.6,24797.85,26175.93,1:3.29,4.09%,NEUTRAL/BULLISH,Head & Shoulders | Downside Risk,25841,26910,DOWNSIDE: 88 points,FII flows remain positive | Foreign buying continues,25841 - 26910,25841.0,26910.0,24604.45,24675.25,24527.95,24548.7,BREACHED_BELOW
2024-12-13,Friday,December,9:00 AM - MARKET OPEN,Times Now Business,BUY,25719.0,26777.98,25365.52,1:3.0,4.12%,MODERATELY BULLISH,Double Bottom | Reversal Expected,25822,26945,UPSIDE: 62 points,FII flows remain positive | Foreign buying continues,25822 - 26945,25822.0,26945.0,24498.35,24792.3,24180.8,24768.3,BREACHED_BELOW
2024-12-16,Monday,December,9:00 AM - MARKET OPEN,Times Now Business,SELL,26168.4,24971.01,26684.17,1:2.32,4.58%,MODERATELY BULLISH,Breakout above 26500 | Momentum Building,25995,26833,DOWNSIDE: 93 points,"FMCG holding support | ITC, HUL steady amid volatility",25995 - 26833,25995.0,26833.0,24753.4,24781.25,24601.75,24668.25,BREACHED_BELOW
2024-12-17,Tuesday,December,9:00 AM - MARKET OPEN,Times Now Business,SELL,26273.8,25705.33,26614.29,1:1.67,2.16%,NEUTRAL/BULLISH,Bullish Engulfing | Support at 26000,25979,26829,DOWNSIDE: 200 points,Cement stocks stable | UltraTech holding ground,25979 - 26829,25979.0,26829.0,24584.8,24624.1,24303.45,24336.0,BREACHED_BELOW
2024-12-18,Wednesday,December,9:00 AM - MARKET OPEN,Times Now Business,SELL,26019.2,25489.68,26431.19,1:1.29,2.04%,NEUTRAL,Double Bottom | Reversal Expected,25831,26800,DOWNSIDE: 120 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25831 - 26800,25831.0,26800.0,24297.95,24394.45,24149.85,24198.85,BREACHED_BELOW
