Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range
2024-11-29,Friday,November,9:00 AM - MARKET OPEN,Economic Times Live,BUY,25894.0,26950.94,25563.87,1:3.2,4.08%,MODERATELY BULLISH,Support Breach | Watch 25800,25939,26812,UPSIDE: 106 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25939 - 26812
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,Economic Times Live,BUY,26237.4,27022.39,25740.53,1:1.58,2.99%,NEUTRAL/BULLISH,Support Breach | Watch 25800,25936,26922,UPSIDE: 175 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25936 - 26922
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,Economic Times Live,BUY,26404.8,27653.27,25941.64,1:2.7,4.73%,BULLISH,Golden Cross | Resistance at 27000,25894,26938,UPSIDE: 163 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25894 - 26938
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,Economic Times Live,BUY,26107.2,27319.48,25710.23,1:3.05,4.64%,NEUTRAL,Higher High-Higher Low | Bull Run Continues,25867,26925,UPSIDE: 115 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25867 - 26925
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,Economic Times Live,BUY,25878.6,26567.73,25459.58,1:1.64,2.66%,MODERATELY BULLISH,Breakout above 26500 | Momentum Building,25815,26865,UPSIDE: 119 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25815 - 26865
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,Economic Times Live,BUY,26085.0,27031.09,25802.54,1:3.35,3.63%,NEUTRAL,Bearish Divergence | Profit Taking,25848,26873,UPSIDE: 171 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25848 - 26873
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,Economic Times Live,SELL,26316.4,25691.13,26724.05,1:1.53,2.38%,MODERATELY BULLISH,Head & Shoulders | Downside Risk,25887,26858,DOWNSIDE: 146 points,Telecom strength | Bharti Airtel gains on tariff hikes,25887 - 26858
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,Economic Times Live,BUY,26257.8,26854.61,25770.28,1:1.22,2.27%,NEUTRAL,Triangle Breakout | Directional Move,25906,26995,UPSIDE: 125 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25906 - 26995
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,Economic Times Live,BUY,25983.2,26918.88,25681.95,1:3.11,3.6%,NEUTRAL,Golden Cross | Resistance at 27000,25817,26817,UPSIDE: 174 points,FII flows remain positive | Foreign buying continues,25817 - 26817
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,Economic Times Live,BUY,26332.6,27251.82,25882.2,1:2.04,3.49%,MODERATELY BULLISH,Golden Cross | Resistance at 27000,25892,26896,UPSIDE: 168 points,Q3 earnings season | Corporate profits robust,25892 - 26896
2024-12-13,Friday,December,9:00 AM - MARKET OPEN,Economic Times Live,BUY,26022.0,26901.02,25663.02,1:2.45,3.38%,BULLISH,Double Bottom | Reversal Expected,25944,26994,UPSIDE: 79 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25944 - 26994
2024-12-16,Monday,December,9:00 AM - MARKET OPEN,Economic Times Live,SELL,26439.4,25366.41,26781.88,1:3.13,4.06%,STRONG BULLISH,Head & Shoulders | Downside Risk,25939,26993,DOWNSIDE: 136 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25939 - 26993
2024-12-17,Tuesday,December,9:00 AM - MARKET OPEN,Economic Times Live,SELL,25883.8,25141.43,26209.52,1:2.28,2.87%,MODERATELY BULLISH,Moving Average Crossover | Trend Change,25975,26871,DOWNSIDE: 136 points,Cement stocks stable | UltraTech holding ground,25975 - 26871
2024-12-18,Wednesday,December,9:00 AM - MARKET OPEN,Economic Times Live,SELL,25874.2,25330.65,26158.36,1:1.91,2.1%,STRONG BULLISH,Bullish Engulfing | Support at 26000,25961,26864,DOWNSIDE: 105 points,DII support strong | Domestic funds accumulating,25961 - 26864
2024-12-19,Thursday,December,9:00 AM - MARKET OPEN,Economic Times Live,BUY,25796.6,26777.72,25375.04,1:2.33,3.8%,NEUTRAL,Double Bottom | Reversal Expected,25847,26877,UPSIDE: 77 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25847 - 26877
2024-12-20,Friday,December,9:00 AM - MARKET OPEN,Economic Times Live,BUY,25698.0,26866.89,25415.91,1:4.14,4.55%,NEUTRAL,Breakout above 26500 | Momentum Building,25986,26982,UPSIDE: 161 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25986 - 26982
2024-12-23,Monday,December,9:00 AM - MARKET OPEN,Economic Times Live,BUY,26581.4,27746.27,26298.68,1:4.12,4.38%,NEUTRAL/BULLISH,Bearish Divergence | Profit Taking,25897,26958,UPSIDE: 165 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25897 - 26958
2024-12-24,Tuesday,December,9:00 AM - MARKET OPEN,Economic Times Live,SELL,25891.8,24925.54,26312.26,1:2.3,3.73%,MODERATELY BULLISH,Moving Average Crossover | Trend Change,25968,26872,DOWNSIDE: 196 points,Energy stocks leading | Oil majors positive on crude rally,25968 - 26872
2024-12-26,Thursday,December,9:00 AM - MARKET OPEN,Economic Times Live,SELL,26400.2,25571.56,26908.4,1:1.63,3.14%,MODERATELY BULLISH,Support Breach | Watch 25800,25946,26830,DOWNSIDE: 153 points,Telecom strength | Bharti Airtel gains on tariff hikes,25946 - 26830
2024-12-27,Friday,December,9:00 AM - MARKET OPEN,Economic Times Live,SELL,26113.6,25385.54,26508.0,1:1.85,2.79%,NEUTRAL/BULLISH,Breakout above 26500 | Momentum Building,25892,26889,DOWNSIDE: 150 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25892 - 26889
2024-12-30,Monday,December,9:00 AM - MARKET OPEN,Economic Times Live,SELL,26497.0,25878.86,27018.01,1:1.19,2.33%,BULLISH,Golden Cross | Resistance at 27000,25943,26905,DOWNSIDE: 71 points,FII flows remain positive | Foreign buying continues,25943 - 26905
2024-12-31,Tuesday,December,9:00 AM - MARKET OPEN,Economic Times Live,BUY,26627.4,27696.66,26302.83,1:3.29,4.02%,NEUTRAL,Support Breach | Watch 25800,25976,26987,UPSIDE: 154 points,Telecom strength | Bharti Airtel gains on tariff hikes,25976 - 26987
2025-01-01,Wednesday,January,9:00 AM - MARKET OPEN,Economic Times Live,SELL,26514.8,25649.5,26976.6,1:1.87,3.26%,BULLISH,Bollinger Bands Squeeze | Volatility Expected,25842,26815,DOWNSIDE: 68 points,FII flows remain positive | Foreign buying continues,25842 - 26815
