Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range
2024-11-29,Friday,November,9:00 AM - MARKET OPEN,Financial Express,BUY,26167.0,27031.14,25668.47,1:1.73,3.3%,BULLISH,Head & Shoulders | Downside Risk,25886,26824,UPSIDE: 180 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25886 - 26824
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,Financial Express,SELL,25683.4,24782.82,26027.19,1:2.62,3.51%,BULLISH,Triangle Breakout | Directional Move,25851,26849,DOWNSIDE: 117 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25851 - 26849
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,Financial Express,BUY,26293.8,27347.23,25803.84,1:2.15,4.01%,NEUTRAL,Moving Average Crossover | Trend Change,25980,26925,UPSIDE: 178 points,Energy stocks leading | Oil majors positive on crude rally,25980 - 26925
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,Financial Express,SELL,25704.2,24735.76,26071.55,1:2.64,3.77%,BULLISH,Moving Average Crossover | Trend Change,25890,26840,DOWNSIDE: 182 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25890 - 26840
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,Financial Express,BUY,26272.6,27024.73,25837.61,1:1.73,2.86%,NEUTRAL/BULLISH,Double Bottom | Reversal Expected,25886,26860,UPSIDE: 197 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25886 - 26860
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,Financial Express,SELL,25966.0,24751.24,26453.97,1:2.49,4.68%,NEUTRAL/BULLISH,Bollinger Bands Squeeze | Volatility Expected,25811,26826,DOWNSIDE: 136 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25811 - 26826
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,Financial Express,BUY,25644.4,26665.08,25152.05,1:2.07,3.98%,STRONG BULLISH,Bullish Engulfing | Support at 26000,25861,26840,UPSIDE: 147 points,DII support strong | Domestic funds accumulating,25861 - 26840
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,Financial Express,BUY,25743.8,26564.12,25481.1,1:3.12,3.19%,NEUTRAL,Moving Average Crossover | Trend Change,25995,26935,UPSIDE: 129 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25995 - 26935
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,Financial Express,SELL,25882.2,25258.1,26342.28,1:1.36,2.41%,BULLISH,Bullish Engulfing | Support at 26000,25856,26864,DOWNSIDE: 146 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25856 - 26864
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,Financial Express,BUY,26526.6,27723.65,26090.54,1:2.75,4.51%,STRONG BULLISH,Bearish Divergence | Profit Taking,25803,26800,UPSIDE: 54 points,Cement stocks stable | UltraTech holding ground,25803 - 26800
