Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range
2024-11-29,Friday,November,9:00 AM - MARKET OPEN,Money Control,BUY,26097.0,26683.02,25691.87,1:1.45,2.25%,BULLISH,Moving Average Crossover | Trend Change,25854,26967,UPSIDE: 79 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25854 - 26967
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,Money Control,BUY,26065.4,27187.74,25661.3,1:2.78,4.31%,STRONG BULLISH,Breakout above 26500 | Momentum Building,25904,26886,UPSIDE: 75 points,FII flows remain positive | Foreign buying continues,25904 - 26886
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,Money Control,SELL,25826.8,25212.97,26248.34,1:1.46,2.38%,NEUTRAL/BEARISH,Support Breach | Watch 25800,25874,26841,DOWNSIDE: 84 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25874 - 26841
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,Money Control,BUY,25973.2,26823.4,25481.88,1:1.73,3.27%,MODERATELY BULLISH,Breakout above 26500 | Momentum Building,25877,26838,UPSIDE: 53 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25877 - 26838
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,Money Control,SELL,26134.6,24920.81,26426.76,1:4.15,4.64%,STRONG BULLISH,Triangle Breakout | Directional Move,25869,26850,DOWNSIDE: 119 points,"FMCG holding support | ITC, HUL steady amid volatility",25869 - 26850
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,Money Control,SELL,26291.0,25558.85,26619.86,1:2.23,2.78%,MODERATELY BULLISH,Higher High-Higher Low | Bull Run Continues,25872,26803,DOWNSIDE: 196 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25872 - 26803
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,Money Control,SELL,25805.4,24680.53,26320.37,1:2.18,4.36%,MODERATELY BULLISH,Head & Shoulders | Downside Risk,25857,26934,DOWNSIDE: 175 points,FII flows remain positive | Foreign buying continues,25857 - 26934
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,Money Control,BUY,26512.8,27127.32,26037.08,1:1.29,2.32%,NEUTRAL/BEARISH,Bearish Divergence | Profit Taking,25956,26986,UPSIDE: 60 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25956 - 26986
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,Money Control,BUY,25756.2,26483.62,25479.53,1:2.63,2.82%,NEUTRAL/BULLISH,Golden Cross | Resistance at 27000,25927,26869,UPSIDE: 59 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25927 - 26869
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,Money Control,BUY,26131.6,26733.26,25663.25,1:1.28,2.3%,NEUTRAL,Bullish Engulfing | Support at 26000,25884,26834,UPSIDE: 193 points,"Chemical sector focus | Atul, Bayer gains on exports",25884 - 26834
2024-12-13,Friday,December,9:00 AM - MARKET OPEN,Money Control,SELL,25673.0,24739.15,26039.84,1:2.55,3.64%,NEUTRAL,Bullish Engulfing | Support at 26000,25842,26979,DOWNSIDE: 157 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25842 - 26979
2024-12-16,Monday,December,9:00 AM - MARKET OPEN,Money Control,SELL,26086.4,24792.39,26545.28,1:2.82,4.96%,NEUTRAL/BULLISH,RSI Overbought | Consolidation Zone,25864,26999,DOWNSIDE: 79 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25864 - 26999
2024-12-17,Tuesday,December,9:00 AM - MARKET OPEN,Money Control,SELL,26534.8,25966.7,26921.47,1:1.47,2.14%,BULLISH,Moving Average Crossover | Trend Change,25954,26900,DOWNSIDE: 164 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25954 - 26900
2024-12-18,Wednesday,December,9:00 AM - MARKET OPEN,Money Control,SELL,26369.2,25203.56,26655.63,1:4.07,4.42%,MODERATELY BULLISH,Bollinger Bands Squeeze | Volatility Expected,25916,26864,DOWNSIDE: 167 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25916 - 26864
2024-12-19,Thursday,December,9:00 AM - MARKET OPEN,Money Control,BUY,26138.6,26780.88,25654.87,1:1.33,2.46%,NEUTRAL,RSI Overbought | Consolidation Zone,25820,26862,UPSIDE: 72 points,"Chemical sector focus | Atul, Bayer gains on exports",25820 - 26862
2024-12-20,Friday,December,9:00 AM - MARKET OPEN,Money Control,SELL,25892.0,25006.04,26392.47,1:1.77,3.42%,NEUTRAL,Bullish Engulfing | Support at 26000,25850,26881,DOWNSIDE: 112 points,Q3 earnings season | Corporate profits robust,25850 - 26881
2024-12-23,Monday,December,9:00 AM - MARKET OPEN,Money Control,BUY,25768.4,26380.96,25264.57,1:1.22,2.38%,NEUTRAL,Bullish Engulfing | Support at 26000,25812,26931,UPSIDE: 86 points,FII flows remain positive | Foreign buying continues,25812 - 26931
2024-12-24,Tuesday,December,9:00 AM - MARKET OPEN,Money Control,BUY,26267.8,27158.6,25785.71,1:1.85,3.39%,NEUTRAL,Bullish Engulfing | Support at 26000,25867,26957,UPSIDE: 123 points,FII flows remain positive | Foreign buying continues,25867 - 26957
2024-12-26,Thursday,December,9:00 AM - MARKET OPEN,Money Control,SELL,26540.2,25390.66,26925.52,1:2.98,4.33%,STRONG BULLISH,Bollinger Bands Squeeze | Volatility Expected,25927,26854,DOWNSIDE: 161 points,"Chemical sector focus | Atul, Bayer gains on exports",25927 - 26854
2024-12-27,Friday,December,9:00 AM - MARKET OPEN,Money Control,BUY,26202.6,27225.98,25832.29,1:2.76,3.91%,NEUTRAL,RSI Overbought | Consolidation Zone,25806,26806,UPSIDE: 140 points,"Realty sector gaining traction | DLF, Oberoi up",25806 - 26806
2024-12-30,Monday,December,9:00 AM - MARKET OPEN,Money Control,BUY,25706.0,26316.21,25321.3,1:1.59,2.37%,NEUTRAL,Triangle Breakout | Directional Move,25926,26839,UPSIDE: 127 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25926 - 26839
2024-12-31,Tuesday,December,9:00 AM - MARKET OPEN,Money Control,BUY,26226.4,26922.1,25953.09,1:2.55,2.65%,STRONG BULLISH,Double Bottom | Reversal Expected,25851,26955,UPSIDE: 187 points,FII flows remain positive | Foreign buying continues,25851 - 26955
2025-01-01,Wednesday,January,9:00 AM - MARKET OPEN,Money Control,SELL,25952.8,25281.41,26267.84,1:2.13,2.59%,MODERATELY BULLISH,Support Breach | Watch 25800,25940,26991,DOWNSIDE: 95 points,"FMCG holding support | ITC, HUL steady amid volatility",25940 - 26991
2025-01-02,Thursday,January,9:00 AM - MARKET OPEN,Money Control,SELL,26042.2,25420.19,26510.44,1:1.33,2.39%,NEUTRAL/BEARISH,Support Breach | Watch 25800,25914,26922,DOWNSIDE: 102 points,FII flows remain positive | Foreign buying continues,25914 - 26922
2025-01-03,Friday,January,9:00 AM - MARKET OPEN,Money Control,SELL,26641.6,25912.38,26987.52,1:2.11,2.74%,NEUTRAL/BULLISH,Bullish Engulfing | Support at 26000,25904,26858,DOWNSIDE: 87 points,"Chemical sector focus | Atul, Bayer gains on exports",25904 - 26858
2025-01-06,Monday,January,9:00 AM - MARKET OPEN,Money Control,SELL,25745.0,24852.17,26052.73,1:2.9,3.47%,NEUTRAL,Support Breach | Watch 25800,25919,26932,DOWNSIDE: 154 points,Q3 earnings season | Corporate profits robust,25919 - 26932
2025-01-07,Tuesday,January,9:00 AM - MARKET OPEN,Money Control,SELL,26170.4,25114.79,26497.7,1:3.23,4.03%,MODERATELY BULLISH,Triangle Breakout | Directional Move,25805,26952,DOWNSIDE: 171 points,FII flows remain positive | Foreign buying continues,25805 - 26952
2025-01-08,Wednesday,January,9:00 AM - MARKET OPEN,Money Control,BUY,26081.8,26651.42,25573.04,1:1.12,2.18%,NEUTRAL/BEARISH,Support Breach | Watch 25800,25814,26819,UPSIDE: 162 points,"Realty sector gaining traction | DLF, Oberoi up",25814 - 26819
2025-01-09,Thursday,January,9:00 AM - MARKET OPEN,Money Control,BUY,26505.2,27797.44,26103.56,1:3.22,4.88%,BULLISH,RSI Overbought | Consolidation Zone,25893,26999,UPSIDE: 81 points,Telecom strength | Bharti Airtel gains on tariff hikes,25893 - 26999
2025-01-10,Friday,January,9:00 AM - MARKET OPEN,Money Control,BUY,26301.6,26988.38,25877.94,1:1.62,2.61%,STRONG BULLISH,Moving Average Crossover | Trend Change,25911,26971,UPSIDE: 121 points,"Realty sector gaining traction | DLF, Oberoi up",25911 - 26971
2025-01-13,Monday,January,9:00 AM - MARKET OPEN,Money Control,BUY,26570.0,27298.38,26267.77,1:2.41,2.74%,NEUTRAL/BULLISH,Bearish Divergence | Profit Taking,25819,26847,UPSIDE: 106 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25819 - 26847
2025-01-14,Tuesday,January,9:00 AM - MARKET OPEN,Money Control,SELL,26232.4,25137.87,26645.41,1:2.65,4.17%,BULLISH,RSI Overbought | Consolidation Zone,25905,26898,DOWNSIDE: 167 points,Telecom strength | Bharti Airtel gains on tariff hikes,25905 - 26898
2025-01-15,Wednesday,January,9:00 AM - MARKET OPEN,Money Control,SELL,26438.8,25396.94,26765.37,1:3.19,3.94%,NEUTRAL/BULLISH,Breakout above 26500 | Momentum Building,25814,26910,DOWNSIDE: 186 points,Telecom strength | Bharti Airtel gains on tariff hikes,25814 - 26910
