Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range
2024-11-29,Friday,November,9:00 AM - MARKET OPEN,Times Now Business,BUY,26130.0,26761.98,25611.2,1:1.22,2.42%,BULLISH,Bullish Engulfing | Support at 26000,25944,26966,UPSIDE: 98 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25944 - 26966
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,Times Now Business,BUY,26102.2,26827.36,25690.78,1:1.76,2.78%,BULLISH,Moving Average Crossover | Trend Change,25905,26949,UPSIDE: 104 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25905 - 26949
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,Times Now Business,SELL,25886.4,24933.5,26354.74,1:2.03,3.68%,NEUTRAL,Triangle Breakout | Directional Move,25988,26901,DOWNSIDE: 69 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25988 - 26901
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,Times Now Business,BUY,26156.6,27033.1,25853.3,1:2.89,3.35%,MODERATELY BULLISH,Triangle Breakout | Directional Move,25879,26958,UPSIDE: 83 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25879 - 26958
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,Times Now Business,SELL,26297.8,25095.18,26611.09,1:3.84,4.57%,NEUTRAL/BULLISH,Bearish Divergence | Profit Taking,25917,26834,DOWNSIDE: 79 points,Q3 earnings season | Corporate profits robust,25917 - 26834
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,Times Now Business,BUY,25524.0,26599.93,25084.29,1:2.45,4.22%,BULLISH,Head & Shoulders | Downside Risk,25902,26818,UPSIDE: 129 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25902 - 26818
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,Times Now Business,SELL,25810.2,25044.9,26290.14,1:1.59,2.97%,NEUTRAL/BULLISH,Triangle Breakout | Directional Move,25805,26980,DOWNSIDE: 52 points,"Chemical sector focus | Atul, Bayer gains on exports",25805 - 26980
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,Times Now Business,BUY,25566.4,26578.9,25260.8,1:3.31,3.96%,MODERATELY BULLISH,Double Bottom | Reversal Expected,25928,26978,UPSIDE: 85 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25928 - 26978
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,Times Now Business,SELL,26256.6,25448.57,26659.14,1:2.01,3.08%,STRONG BULLISH,Support Breach | Watch 25800,25836,26887,DOWNSIDE: 93 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25836 - 26887
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,Times Now Business,BUY,25580.8,26293.28,25150.84,1:1.66,2.79%,STRONG BULLISH,Golden Cross | Resistance at 27000,25892,26815,UPSIDE: 112 points,Energy stocks leading | Oil majors positive on crude rally,25892 - 26815
